ID_POINT,EASTING_AWAL,NORTHING_AWAL,ELEVASI_AWAL,EASTING_AKHIR,NORTHING_AKHIR,ELEVASI_AKHIR
HLO-105,175780.223,9047134.707,125.486,175780.17,9047134.925,125.441
HLO-106,175907.726,9047143.768,125.526,175907.667,9047143.916,125.534
HLO-107,175857.07,9047050.901,136.778,175857.025,9047051.063,136.784
HLO-110-R1,176026.179,9047221.393,125.557,176026.145,9047221.456,125.579
HLO-112,175981.879,9047093.93,136.899,175981.822,9047094.066,136.914
HLO-122,175735.13,9047133.378,124.984,175735.092,9047133.61,124.899
HLO-123,175756.647,9047051.268,137.516,175756.609,9047051.434,137.535
HLO-128,175835.402,9047027.464,146.706,175835.359,9047027.621,146.734
HLO-129,175937.574,9047033.236,147.543,175937.515,9047033.394,147.548
HLO-130,175990.665,9047070.153,146.578,175990.588,9047070.299,146.569
HLO-131,176217.737,9047541.553,67.514,176217.716,9047541.662,67.524
HLO-133,176157.579,9047472.241,77.431,176157.588,9047472.345,77.43
HLO-144,175537.042,9047224.664,126.885,175537.043,9047225.047,126.367
